"Name","MPN","Quantity","Price","Total","Vendor"
Sailor Hat,SH-ESP32,1, $71.60,1, $71.60,https://shop.hatlabs.fi/
NMEA 200 panel connector,,1,$6.31,1,$6.31,https://shop.hatlabs.fi/
HWT905-TTL MPU-9250 9-axis Gyroscope+Angle,B07G21XRV6,1,$129.90,1,$129.90,https://www.amazon.com/
GPS Module GPS NEO-6M,B07P8YMVNT,1,$9.99,1,$9.99,https://www.amazon.com/
DZS Elec 2pcs MP1584EN Mini 3A DC-DC Buck Converter ,B07JWGN1F6,1,$7.59,1,$7.59,https://www.amazon.com/
Connxal Connector 5P SOCKET PNL MNT,7282-5SG-300,1,$11.99,1,$11.99,https://www.mouser.com/ProductDetail/502-7282-5SG-300
