"Name","MPN","Quantity","Price","Total","Vendor"
Sailor Hat,SH-ESP32,1, $71.60,1, $71.60,https://shop.hatlabs.fi/
Engine Hat,,1,33.23,1,33.23,https://shop.hatlabs.fi/
SP13 Power connector,,1,$5.33,1,$5.33,https://shop.hatlabs.fi/
NMEA 200 panel connector,,1,$6.31,1,$6.31,https://shop.hatlabs.fi/
Connxal Connector 6P SOCKET PNL MNT,7282-6SG-300,1,$11.99,1,$11.99,https://www.mouser.com/ProductDetail/502-7282-6SG-300
MINI-CON PAN MT #20 SOLDER,7282-7PG-300,1,$11.61,1,$11.61,https://www.mouser.com/ProductDetail/502-7282-7PG-300


